,original_unit_id,recording,cagemate,familiar,novel
0,39,11_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
1,235,11_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
2,163,11_cups_p4_merged.rec,significantly increased,not significantly changed,significantly increased
3,127,11_cups_p4_merged.rec,significantly increased,significantly increased,not significantly changed
4,88,11_cups_p4_merged.rec,not significantly changed,significantly increased,not significantly changed
5,5,11_cups_p4_merged.rec,not significantly changed,not significantly changed,significantly decreased
6,204,11_cups_p4_merged.rec,significantly decreased,significantly increased,significantly increased
7,67,11_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
8,75,11_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
9,173,11_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly decreased
10,91,11_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
11,146,11_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
12,143,11_cups_p4_merged.rec,significantly increased,not significantly changed,not significantly changed
13,160,11_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
14,7,11_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
15,144,11_cups_p4_merged.rec,significantly increased,not significantly changed,significantly increased
16,213,11_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
17,197,11_cups_p4_merged.rec,not significantly changed,significantly decreased,significantly decreased
18,9,11_cups_p4_merged.rec,significantly decreased,significantly increased,significantly increased
19,125,11_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
20,215,11_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly increased
21,20,13_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
22,28,13_cups_p4_merged.rec,not significantly changed,significantly decreased,significantly decreased
23,17,13_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
24,25,13_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
25,7,13_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
26,34,13_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
27,9,13_cups_p4_merged.rec,not significantly changed,significantly increased,significantly increased
28,13,13_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
29,22,13_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly decreased
30,38,13_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly increased
31,18,13_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
32,30,13_cups_p4_merged.rec,significantly decreased,significantly increased,significantly increased
33,29,21_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
34,33,21_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
35,11,21_cups_p4_merged.rec,significantly increased,not significantly changed,not significantly changed
36,41,21_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
37,17,21_cups_p4_merged.rec,significantly decreased,not significantly changed,not significantly changed
38,14,21_cups_p4_merged.rec,not significantly changed,significantly increased,significantly increased
39,21,21_cups_p4_merged.rec,significantly decreased,significantly increased,significantly decreased
40,19,21_cups_p4_merged.rec,significantly decreased,significantly increased,significantly increased
41,40,21_cups_p4_merged.rec,significantly increased,not significantly changed,significantly increased
42,12,21_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
43,32,21_cups_p4_merged.rec,significantly decreased,not significantly changed,not significantly changed
44,31,21_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
45,3,21_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
46,13,21_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly decreased
47,15,21_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
48,146,22_cups_p4_merged.rec,significantly increased,not significantly changed,significantly decreased
49,11,22_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly increased
50,3,22_cups_p4_merged.rec,significantly decreased,significantly increased,significantly increased
51,150,22_cups_p4_merged.rec,not significantly changed,significantly decreased,significantly decreased
52,81,22_cups_p4_merged.rec,significantly increased,significantly increased,not significantly changed
53,39,22_cups_p4_merged.rec,not significantly changed,not significantly changed,significantly decreased
54,26,22_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly increased
55,54,22_cups_p4_merged.rec,significantly increased,significantly decreased,significantly decreased
56,83,22_cups_p4_merged.rec,significantly increased,significantly increased,significantly decreased
57,4,22_cups_p4_merged.rec,not significantly changed,significantly decreased,significantly increased
58,124,22_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
59,47,22_cups_p4_merged.rec,significantly increased,significantly increased,significantly decreased
60,161,22_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
61,60,22_cups_p4_merged.rec,significantly decreased,significantly increased,significantly increased
62,131,22_cups_p4_merged.rec,significantly decreased,not significantly changed,not significantly changed
63,88,22_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
64,29,24_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
